0;0;341.533558;717.450334
1;1;339.813222;718.733858
2;2;339.747925;718.950780
3;3;339.785051;717.237544
4;4;340.072077;717.603123
5;19;340.374675;719.465994
6;0;341.192611;718.452673
7;1;339.308008;717.140921
8;2;341.802432;718.349149
9;3;340.094391;718.484058
10;4;340.081038;718.750845
11;19;339.430176;718.578407
12;0;976.733550;182.524243
13;1;976.481696;182.293039
14;2;976.895546;181.156282
15;3;975.901100;182.309259
16;4;976.170784;181.092395
17;19;976.997893;182.066212
18;0;975.997572;182.928056
19;1;976.527057;181.943057
20;2;975.437023;182.914991
21;3;975.061536;182.712567
22;4;975.342629;181.695361
23;19;977.892370;181.237579
24;0;613.705567;736.348102
25;1;612.844180;736.536961
26;2;613.773841;735.721281
27;3;612.306732;737.721805
28;4;614.315842;735.632697
29;19;612.165180;737.895318
30;0;612.140115;736.848141
31;1;614.162143;736.921408
32;2;613.693063;735.792590
33;3;612.544153;737.997239
34;4;612.235068;735.714279
35;19;614.633038;736.214056
36;0;127.742931;290.504999
37;1;127.219687;290.758341
38;2;128.302770;290.582089
39;3;127.403217;289.091891
40;4;127.342462;289.158531
41;19;128.692881;290.354699
42;0;126.606430;290.867166
43;1;127.853163;290.358506
44;2;127.298042;288.063458
45;3;127.104336;288.881708
46;4;127.306091;288.208417
47;19;126.891337;290.537783
48;0;951.891793;907.529114
49;1;953.503162;907.269724
50;2;951.641446;908.668964
51;3;953.363054;906.521927
52;4;951.887359;907.273264
53;19;951.816612;906.358827
54;0;951.165863;906.407688
55;1;953.720520;906.236034
56;2;952.616191;906.378291
57;3;953.078933;907.785037
58;4;952.527706;907.911262
59;19;951.387649;907.846551
60;0;825.515435;370.759033
61;1;826.228029;369.080348
62;2;827.045062;369.626513
63;3;825.003215;371.790962
64;4;825.238512;369.857127
65;19;826.528521;371.138901
66;0;826.069947;369.582955
67;1;826.475973;370.656044
68;2;825.209482;371.026700
69;3;827.429810;371.951661
70;4;825.888105;371.345342
71;19;825.535315;370.682036
72;0;611.242292;299.826240
73;1;611.417732;298.261918
74;2;610.650474;298.386083
75;3;610.211064;299.420075
76;4;610.595997;297.181511
77;19;610.168396;297.543986
78;0;611.582435;297.717353
79;1;611.426006;298.820230
